Neighbourhood,Neighbourhood Id,Combined Indicators,   Chinese,   South Asian,   Black,   Filipino,   Latin American,   Southeast Asian,   Arab,   West Asian,   Korean,   Japanese,  White,Drug Arrests,Assaults,Sexual Assaults,Break & Enters,Robberies,Vehicle Thefts,Thefts
Oakridge,121,N/A,760,4325,2085,900,170,235,145,250,0,40,4150,55,169,13,91,30,14,4
Birchcliffe-Cliffside,122,N/A,1125,1080,680,600,235,75,95,65,55,110,16870,26,208,4,105,39,20,9
Cliffcrest,123,N/A,830,2040,695,645,215,75,145,170,45,85,9960,30,131,14,44,59,7,4
Kennedy Park,124,N/A,1255,3855,2245,2185,180,475,70,255,40,30,5795,48,225,20,78,59,23,8
Ionview,125,N/A,945,2935,1635,2220,225,255,100,225,20,50,3955,17,81,17,32,14,11,0
Dorset Park,126,N/A,2685,7265,2125,2490,470,460,790,400,40,70,6130,39,179,20,88,56,30,7
Bendale,127,N/A,4135,7160,1385,2540,530,375,285,710,55,190,8880,51,232,25,93,65,70,10
Agincourt South-Malvern West,128,N/A,10480,3630,1275,1035,150,215,170,40,80,100,4015,20,141,24,110,44,36,5
Agincourt North,129,N/A,16640,5785,1210,1610,105,495,260,210,100,25,2910,20,74,6,105,54,33,4
Milliken,130,N/A,18045,3765,840,1280,50,405,170,30,40,50,1315,5,79,3,124,32,67,15
Rouge,131,N/A,2015,17805,6435,4675,880,565,335,415,140,50,9390,33,170,30,134,62,91,14
Malvern,132,N/A,3400,18225,8365,4685,450,790,310,240,105,35,5660,81,319,37,118,118,51,3
Centennial Scarborough,133,N/A,560,1770,665,860,95,230,85,140,35,25,8115,2,50,4,27,9,13,2
Highland Creek,134,N/A,940,4310,1370,920,210,275,0,305,65,20,3695,11,70,9,80,19,17,1
Morningside,135,N/A,690,5125,2920,2020,210,170,70,360,30,35,4800,24,161,27,47,51,19,1
West Hill,136,N/A,820,4470,5430,2100,420,230,180,685,70,100,10430,87,387,52,102,71,46,3
Woburn,137,N/A,4105,20985,5170,3785,1070,365,220,1335,105,100,14285,77,412,29,128,107,45,7
Eglinton East,138,N/A,975,6675,3770,2310,410,345,185,420,30,95,6360,48,239,17,88,66,23,10
Scarborough Village,139,N/A,415,5115,2855,1005,375,465,110,400,65,20,4835,31,226,31,93,62,27,3
Guildwood,140,N/A,170,390,480,590,145,125,0,70,30,45,7240,9,44,7,32,14,5,2
